Date & Time,Array Size,Actual Pattern,Predicted Pattern,Sampled Size,Repeated Score,Reverse Score,Nearly Sorted Score,Random Score,Time Taken,Sort Time With Actual Pattern,Sort Time With Predicted Pattern
10-12-2017 22:59:41,50000,Repeated,Repeated,112,138,60,51,73,13299259,5775390,5775390
10-12-2017 22:59:41,50000,Reverse,Reverse,112,0,112,-1,1,4342272,20909899,20909899
10-12-2017 22:59:41,50000,Nearly Sorted,Nearly Sorted,112,0,-1,112,1,2139414,22250648,22250648
10-12-2017 22:59:42,50000,Random,Random,112,0,64,47,72,4027845,26107750,26107750
10-12-2017 23:15:49,50000,Repeated,Repeated,112,164,59,52,74,21102568,10057483,10057483
10-12-2017 23:15:49,50000,Reverse,Reverse,112,0,111,0,3,3830045,15089257,15089257
10-12-2017 23:15:49,50000,Nearly Sorted,Nearly Sorted,112,0,1,110,5,1021657,20780210,20780210
10-12-2017 23:15:49,50000,Random,Random,112,0,57,54,71,1723754,22408328,22408328
10-12-2017 23:15:54,50000,Repeated,Repeated,112,79,52,59,76,8487678,3928012,3928012
10-12-2017 23:15:54,50000,Reverse,Reverse,112,0,110,1,5,3957402,13296927,13296927
10-12-2017 23:15:54,50000,Nearly Sorted,Nearly Sorted,112,0,-1,112,1,1111693,23355810,23355810
10-12-2017 23:15:54,50000,Random,Random,112,0,54,57,79,2218720,21389472,21389472
10-12-2017 23:16:10,200000,Repeated,Repeated,144,136,74,69,97,14832677,7732865,7732865
10-12-2017 23:16:10,200000,Reverse,Reverse,144,0,144,-1,1,2772467,33670340,33670340
10-12-2017 23:16:10,200000,Nearly Sorted,Nearly Sorted,144,0,-1,144,1,1833383,69191324,69191324
10-12-2017 23:16:10,200000,Random,Random,144,0,67,76,93,1575403,50783317,50783317
10-12-2017 23:16:20,5000,Repeated,Repeated,78,122,41,36,55,9144990,1288033,1288033
10-12-2017 23:16:20,5000,Reverse,Reverse,78,0,76,1,5,1162543,2185132,2185132
10-12-2017 23:16:20,5000,Nearly Sorted,Nearly Sorted,78,0,-1,78,1,1148080,6117342,6117342
10-12-2017 23:16:20,5000,Random,Random,78,0,41,36,44,1253978,3429313,3429313
10-12-2017 23:16:24,5000,Repeated,Repeated,78,78,35,42,50,6224173,807995,807995
10-12-2017 23:16:24,5000,Reverse,Reverse,78,0,75,2,7,805662,1673371,1673371
10-12-2017 23:16:24,5000,Nearly Sorted,Nearly Sorted,78,0,0,77,3,756212,4800385,4800385
10-12-2017 23:16:24,5000,Random,Random,78,0,39,38,54,877971,3332745,3332745
10-12-2017 23:16:28,5000,Repeated,Repeated,78,122,44,33,57,7720736,867242,867242
10-12-2017 23:16:28,5000,Reverse,Reverse,78,0,73,4,11,868174,1691098,1691098
10-12-2017 23:16:28,5000,Nearly Sorted,Nearly Sorted,78,0,5,72,11,1114958,4129544,4129544
10-12-2017 23:16:28,5000,Random,Random,78,0,38,39,54,1255844,3279563,3279563
10-12-2017 23:16:37,1000,Repeated,Repeated,50,72,22,27,34,8849224,665243,665243
10-12-2017 23:16:37,1000,Reverse,Reverse,50,0,44,5,13,773473,2094629,2094629
10-12-2017 23:16:37,1000,Nearly Sorted,Nearly Sorted,50,18,8,41,17,1207794,2098827,2098827
10-12-2017 23:16:37,1000,Random,Random,50,0,29,20,31,756679,1696229,1696229
10-12-2017 23:16:39,1000,Repeated,Repeated,50,90,30,19,32,5835103,491235,491235
10-12-2017 23:16:39,1000,Reverse,Reverse,50,0,46,3,9,447382,845316,845316
10-12-2017 23:16:39,1000,Nearly Sorted,Nearly Sorted,50,0,6,43,10,472574,1069707,1069707
10-12-2017 23:16:39,1000,Random,Random,50,9,22,27,36,508963,1407459,1407459
10-12-2017 23:16:42,1000,Repeated,Repeated,50,95,26,23,31,7780916,995999,995999
10-12-2017 23:16:42,1000,Reverse,Reverse,50,0,48,1,5,770208,1296431,1296431
10-12-2017 23:16:42,1000,Nearly Sorted,Nearly Sorted,50,0,2,47,7,647982,1659842,1659842
10-12-2017 23:16:42,1000,Random,Random,50,0,23,26,35,773473,2064772,2064772
10-12-2017 23:16:51,100,Repeated,Repeated,21,38,12,8,15,7350328,703496,703496
10-12-2017 23:16:51,100,Reverse,Reverse,21,0,13,7,11,313028,488435,488435
10-12-2017 23:16:51,100,Nearly Sorted,Nearly Sorted,21,0,2,18,7,249582,372742,372742
10-12-2017 23:16:51,100,Random,Random,21,5,11,9,14,431055,601331,601331
10-12-2017 23:16:53,100,Repeated,Repeated,21,136,8,12,10,5614911,397466,397466
10-12-2017 23:16:53,100,Reverse,Reverse,21,0,18,2,7,380672,532288,532288
10-12-2017 23:16:53,100,Nearly Sorted,Nearly Sorted,21,0,4,16,6,366677,429655,429655
10-12-2017 23:16:53,100,Random,Random,21,5,12,8,17,444584,592001,592001
10-12-2017 23:16:59,60,Repeated,Repeated,18,87,7,10,12,5831372,412861,412861
10-12-2017 23:16:59,60,Reverse,Repeated,18,15,11,6,10,269643,440852,12129
10-12-2017 23:16:59,60,Nearly Sorted,Nearly Sorted,18,0,5,12,11,221125,335887,335887
10-12-2017 23:16:59,60,Random,Random,18,0,6,11,13,248183,387670,387670
10-12-2017 23:17:02,60,Repeated,Repeated,18,99,6,11,9,6804045,439452,439452
10-12-2017 23:17:02,60,Reverse,Reverse,18,5,14,3,9,281306,439452,439452
10-12-2017 23:17:02,60,Nearly Sorted,Nearly Sorted,18,0,4,13,11,219259,343817,343817
10-12-2017 23:17:02,60,Random,Reverse,18,0,9,8,8,243985,407729,17260
10-12-2017 23:17:04,60,Repeated,Repeated,18,60,7,10,9,8722799,593867,593867
10-12-2017 23:17:04,60,Reverse,Reverse,18,0,13,4,9,270576,464643,464643
10-12-2017 23:17:04,60,Nearly Sorted,Nearly Sorted,18,0,2,15,7,253782,370875,370875
10-12-2017 23:17:04,60,Random,Random,18,0,7,10,15,452981,686236,686236
